,s09,s10,s11,s12,Avg
Team  25,0.826,0.859,0.916,0.94,0.885
Team 126,0.826,0.859,0.916,0.94,0.885
Team  40,0.69,0.897,0.947,0.954,0.872
Team 113,0.734,0.897,0.914,0.916,0.865
Team  82,0.562,0.857,0.917,0.951,0.822
Team  75,0.616,0.825,0.888,0.867,0.799
Team  81,0.488,0.831,0.916,0.901,0.784
Team  63,0.543,0.837,0.89,0.816,0.771
Team  18,0.466,0.835,0.888,0.859,0.762
Team 144,0.393,0.809,0.876,0.901,0.745
Team 102,0.534,0.768,0.84,0.818,0.74
Team  41,0.478,0.813,0.818,0.84,0.737
Team  97,0.52,0.761,0.834,0.835,0.737
Team 139,0.485,0.767,0.747,0.858,0.714
Team  53,0.453,0.703,0.817,0.698,0.668
Team  73,0.467,0.672,0.729,0.74,0.652
Team 131,0.403,0.726,0.784,0.674,0.647
Team  59,0.575,0.571,0.659,0.749,0.639
Team  29,0.288,0.684,0.725,0.779,0.619
Team 106,0.73,0.197,0.901,0.538,0.592
Team  85,0.396,0.624,0.682,0.663,0.591
Team  60,0.382,0.63,0.673,0.663,0.587
Team 118,0.397,0.598,0.657,0.654,0.577
Team  93,0.398,0.586,0.667,0.65,0.575
Team  54,0.368,0.6,0.658,0.665,0.573
Team 134,0.379,0.611,0.646,0.649,0.571
Team  50,0.397,0.538,0.643,0.658,0.559
Team  16,0.304,0.533,0.691,0.69,0.554
Team  91,0.346,0.575,0.651,0.636,0.552
Team 123,0.419,0.534,0.643,0.605,0.55
Team 107,0.373,0.577,0.596,0.625,0.543
Team  21,0.328,0.565,0.627,0.634,0.539
Team  74,0.309,0.58,0.621,0.625,0.534
Team  55,0.279,0.583,0.603,0.627,0.523
Team 150,0.431,0.505,0.569,0.58,0.521
Team 104,0.325,0.555,0.582,0.612,0.518
Team 147,0.424,0.501,0.58,0.565,0.518
Team  28,0.325,0.551,0.575,0.613,0.516
Team 143,0.311,0.563,0.579,0.612,0.516
Team  38,0.276,0.56,0.593,0.625,0.513
Team 114,0.346,0.515,0.583,0.601,0.511
Team  14,0.348,0.566,0.541,0.586,0.51
Team  33,0.347,0.563,0.544,0.587,0.51
Team 110,0.387,0.495,0.564,0.595,0.51
Team   8,0.284,0.544,0.582,0.617,0.507
Team  70,0.309,0.543,0.584,0.582,0.505
Team  86,0.273,0.506,0.641,0.599,0.505
Team  89,0.267,0.565,0.565,0.623,0.505
Team  61,0.319,0.519,0.572,0.603,0.504
Team 122,0.36,0.516,0.595,0.546,0.504
Team 108,0.395,0.493,0.571,0.544,0.501
Team  94,0.307,0.554,0.562,0.576,0.5
