,id,s09,s10,s11,s12,Avg
Team   1,1,0.795,0.901,0.913,0.930,0.885
Team   2,2,0.824,0.905,0.927,0.935,0.898
Team   3,3,0.706,0.851,0.927,0.925,0.852
Team   4,4,0.795,0.869,0.898,0.917,0.870
Team   5,5,0.445,0.814,0.935,0.953,0.787
Team   6,6,0.742,0.862,0.938,0.908,0.863
Team   7,7,0.333,0.773,0.794,0.855,0.689
Team   8,8,0.773,0.879,0.894,0.903,0.862
Team   9,9,0.605,0.861,0.926,0.911,0.826
Team  10,10,0.278,0.372,0.433,0.494,0.394
Team  12,12,0.619,0.856,0.914,0.916,0.826
Team  13,13,0.258,0.232,0.246,0.176,0.228
Team  15,15,0.776,0.832,0.904,0.909,0.855
Team  16,16,0.406,0.779,0.859,0.883,0.732
Team  18,18,0.574,0.824,0.909,0.878,0.796
Team  19,19,0.297,0.378,0.409,0.462,0.387
Team  20,20,0.815,0.876,0.921,0.910,0.881
Team  21,21,0.743,0.866,0.932,0.925,0.867
Team  22,22,0.834,0.880,0.942,0.953,0.902
Team  24,24,0.634,0.697,0.899,0.859,0.772
Team  25,25,0.797,0.888,0.927,0.941,0.888
Team  26,26,0.832,0.855,0.934,0.934,0.889
Team  27,27,0.554,0.885,0.887,0.895,0.805
Team  28,28,0.773,0.846,0.905,0.896,0.855
Team  29,29,0.224,0.817,0.853,0.762,0.664
Team  30,30,0.793,0.932,0.949,0.950,0.906
Team  31,31,0.719,0.875,0.930,0.936,0.865
Team  32,32,0.749,0.856,0.934,0.910,0.862
Team  33,33,0.771,0.853,0.939,0.922,0.871
Team  34,34,0.390,0.268,0.606,0.474,0.434
Team  35,35,0.368,0.589,0.623,0.631,0.553
Team  36,36,0.703,0.843,0.914,0.924,0.846
Team  37,37,0.284,0.294,0.309,0.297,0.296
Team  38,38,0.773,0.853,0.925,0.916,0.867
Team  40,40,0.801,0.893,0.948,0.954,0.899
Team  41,41,0.616,0.932,0.902,0.926,0.844
Team  42,42,0.507,0.770,0.865,0.803,0.736
Team  43,43,0.681,0.893,0.894,0.894,0.840
Team  45,45,0.785,0.874,0.913,0.912,0.871
Team  46,46,0.802,0.872,0.916,0.906,0.874
Team  47,47,0.372,0.410,0.485,0.459,0.432
Team  48,48,0.771,0.808,0.885,0.905,0.842
Team  50,50,0.672,0.856,0.931,0.921,0.845
Team  51,51,0.775,0.851,0.922,0.915,0.866
Team  52,52,0.786,0.950,0.950,0.959,0.911
Team  53,53,0.804,0.904,0.936,0.949,0.898
Team  54,54,0.786,0.863,0.897,0.923,0.867
Team  55,55,0.672,0.856,0.931,0.921,0.845
Team  56,56,0.760,0.856,0.906,0.918,0.860
Team  58,58,0.556,0.826,0.935,0.901,0.804
Team  60,60,0.701,0.894,0.922,0.944,0.865
Team  61,61,0.759,0.855,0.906,0.918,0.859
Team  62,62,0.747,0.836,0.904,0.904,0.848
Team  63,63,0.494,0.920,0.928,0.880,0.806
Team  64,64,0.665,0.836,0.931,0.908,0.835
Team  65,65,0.746,0.868,0.936,0.936,0.871
Team  67,67,0.331,0.235,0.254,0.217,0.259
Team  68,68,0.573,0.815,0.821,0.876,0.771
Team  69,69,0.791,0.919,0.946,0.945,0.900
Team  70,70,0.760,0.856,0.906,0.918,0.860
